"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"8600000US89010","ZCTA5 89010","130100","31376","null","null",
"8600000US89019","ZCTA5 89019","106600","39088","null","null",
"8600000US89060","ZCTA5 89060","107400","12998","null","null",
"8600000US89061","ZCTA5 89061","151700","11490","null","null",
"8600000US89439","ZCTA5 89439","225000","143395","null","null",
"8600000US90001","ZCTA5 90001","249600","10586","null","null",
"8600000US90002","ZCTA5 90002","216100","9651","null","null",
"8600000US90003","ZCTA5 90003","231700","8774","null","null",
"8600000US90004","ZCTA5 90004","776300","53837","null","null",
"8600000US90005","ZCTA5 90005","633600","90127","null","null",
"8600000US90006","ZCTA5 90006","392100","28631","null","null",
"8600000US90007","ZCTA5 90007","388900","33881","null","null",
"8600000US90008","ZCTA5 90008","447500","18204","null","null",
"8600000US90010","ZCTA5 90010","514300","108193","null","null",
"8600000US90011","ZCTA5 90011","269300","8681","null","null",
"8600000US90012","ZCTA5 90012","394500","38491","null","null",
"8600000US90013","ZCTA5 90013","312200","78499","null","null",
"8600000US90014","ZCTA5 90014","345200","64863","null","null",
"8600000US90015","ZCTA5 90015","429100","29040","null","null",
"8600000US90016","ZCTA5 90016","358000","12904","null","null",
"8600000US90017","ZCTA5 90017","417600","54277","null","null",
"8600000US90018","ZCTA5 90018","345800","15865","null","null",
"8600000US90019","ZCTA5 90019","617300","27732","null","null",
"8600000US90020","ZCTA5 90020","511800","139891","null","null",
"8600000US90021","ZCTA5 90021","444000","67398","null","null",
"8600000US90022","ZCTA5 90022","294800","10180","null","null",
"8600000US90023","ZCTA5 90023","287500","11945","null","null",
"8600000US90024","ZCTA5 90024","963400","84988","null","null",
"8600000US90025","ZCTA5 90025","669100","18433","null","null",
"8600000US90026","ZCTA5 90026","551500","28377","null","null",
"8600000US90027","ZCTA5 90027","793200","54393","null","null",
"8600000US90028","ZCTA5 90028","593900","88831","null","null",
"8600000US90029","ZCTA5 90029","511100","42879","null","null",
"8600000US90031","ZCTA5 90031","340500","10059","null","null",
"8600000US90032","ZCTA5 90032","325100","8233","null","null",
"8600000US90033","ZCTA5 90033","291100","14953","null","null",
"8600000US90034","ZCTA5 90034","637100","23307","null","null",
"8600000US90035","ZCTA5 90035","842500","33168","null","null",
"8600000US90036","ZCTA5 90036","945000","45224","null","null",
"8600000US90037","ZCTA5 90037","271400","8909","null","null",
"8600000US90038","ZCTA5 90038","525800","61775","null","null",
"8600000US90039","ZCTA5 90039","600000","20386","null","null",
"8600000US90040","ZCTA5 90040","326100","17720","null","null",
"8600000US90041","ZCTA5 90041","535500","23099","null","null",
"8600000US90042","ZCTA5 90042","382100","9842","null","null",
"8600000US90043","ZCTA5 90043","364300","10952","null","null",
"8600000US90044","ZCTA5 90044","269400","7737","null","null",
"8600000US90045","ZCTA5 90045","661700","10093","null","null",
"8600000US90046","ZCTA5 90046","873100","49542","null","null",
"8600000US90047","ZCTA5 90047","286800","6460","null","null",
"8600000US90048","ZCTA5 90048","941100","42803","null","null",
"8600000US90049","ZCTA5 90049","1,000,000+","***","***","1,000,000+",
"8600000US90056","ZCTA5 90056","712400","57461","null","null",
"8600000US90057","ZCTA5 90057","282600","19295","null","null",
"8600000US90058","ZCTA5 90058","191100","21609","null","null",
"8600000US90059","ZCTA5 90059","221500","7266","null","null",
"8600000US90061","ZCTA5 90061","256400","12624","null","null",
"8600000US90062","ZCTA5 90062","278700","12137","null","null",
"8600000US90063","ZCTA5 90063","273400","9370","null","null",
