"GEO_ID","NAME","B25077_001E","B25077_001EA","B25077_001M","B25077_001MA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)",
"8600000US89010","ZCTA5 89010","118800","null","18464","null",
"8600000US89019","ZCTA5 89019","104200","null","51871","null",
"8600000US89060","ZCTA5 89060","104800","null","9909","null",
"8600000US89061","ZCTA5 89061","150000","null","15876","null",
"8600000US89439","ZCTA5 89439","244800","null","56974","null",
"8600000US90001","ZCTA5 90001","272200","null","9084","null",
"8600000US90002","ZCTA5 90002","248200","null","9007","null",
"8600000US90003","ZCTA5 90003","268500","null","9662","null",
"8600000US90004","ZCTA5 90004","838000","null","66498","null",
"8600000US90005","ZCTA5 90005","672600","null","37189","null",
"8600000US90006","ZCTA5 90006","469200","null","21761","null",
"8600000US90007","ZCTA5 90007","421200","null","55247","null",
"8600000US90008","ZCTA5 90008","507900","null","37872","null",
"8600000US90010","ZCTA5 90010","759400","null","109561","null",
"8600000US90011","ZCTA5 90011","294800","null","7509","null",
"8600000US90012","ZCTA5 90012","432700","null","27801","null",
"8600000US90013","ZCTA5 90013","476700","null","55683","null",
"8600000US90014","ZCTA5 90014","403100","null","69285","null",
"8600000US90015","ZCTA5 90015","560300","null","50292","null",
"8600000US90016","ZCTA5 90016","394100","null","13418","null",
"8600000US90017","ZCTA5 90017","511300","null","73334","null",
"8600000US90018","ZCTA5 90018","407600","null","20482","null",
"8600000US90019","ZCTA5 90019","694200","null","23945","null",
"8600000US90020","ZCTA5 90020","566500","null","114713","null",
"8600000US90021","ZCTA5 90021","556500","null","184194","null",
"8600000US90022","ZCTA5 90022","326400","null","5187","null",
"8600000US90023","ZCTA5 90023","324900","null","14324","null",
"8600000US90024","ZCTA5 90024","1091100","null","70706","null",
"8600000US90025","ZCTA5 90025","729100","null","24767","null",
"8600000US90026","ZCTA5 90026","647200","null","18761","null",
"8600000US90027","ZCTA5 90027","884800","null","51390","null",
"8600000US90028","ZCTA5 90028","654200","null","94425","null",
"8600000US90029","ZCTA5 90029","584100","null","24631","null",
"8600000US90031","ZCTA5 90031","396000","null","15074","null",
"8600000US90032","ZCTA5 90032","382000","null","9862","null",
"8600000US90033","ZCTA5 90033","327800","null","14054","null",
"8600000US90034","ZCTA5 90034","715000","null","30995","null",
"8600000US90035","ZCTA5 90035","927800","null","37128","null",
"8600000US90036","ZCTA5 90036","1039300","null","56106","null",
"8600000US90037","ZCTA5 90037","300100","null","12520","null",
"8600000US90038","ZCTA5 90038","600300","null","43888","null",
"8600000US90039","ZCTA5 90039","681900","null","18340","null",
"8600000US90040","ZCTA5 90040","346000","null","12414","null",
"8600000US90041","ZCTA5 90041","611400","null","18021","null",
"8600000US90042","ZCTA5 90042","451100","null","10522","null",
"8600000US90043","ZCTA5 90043","394300","null","11038","null",
"8600000US90044","ZCTA5 90044","300300","null","10633","null",
"8600000US90045","ZCTA5 90045","774000","null","20662","null",
"8600000US90046","ZCTA5 90046","929600","null","47142","null",
"8600000US90047","ZCTA5 90047","322300","null","8021","null",
"8600000US90048","ZCTA5 90048","1068100","null","66657","null",
"8600000US90049","ZCTA5 90049","1735800","null","78904","null",
"8600000US90056","ZCTA5 90056","839800","null","32771","null",
"8600000US90057","ZCTA5 90057","363700","null","55309","null",
"8600000US90058","ZCTA5 90058","313600","null","220707","null",
"8600000US90059","ZCTA5 90059","261000","null","10970","null",
"8600000US90061","ZCTA5 90061","283600","null","9494","null",
"8600000US90062","ZCTA5 90062","315000","null","14998","null",
"8600000US90063","ZCTA5 90063","322600","null","8701","null",
"8600000US90064","ZCTA5 90064","974000","null","33009","null",
"8600000US90065","ZCTA5 90065","563200","null","15364","null",
"8600000US90066","ZCTA5 90066","834900","null","23043","null",
"8600000US90067","ZCTA5 90067","1077900","null","94563","null",
"8600000US90068","ZCTA5 90068","1053900","null","52229","null",
"8600000US90069","ZCTA5 90069","738100","null","51789","null",
"8600000US90071","ZCTA5 90071","-","-","**","**",
"8600000US90073","ZCTA5 90073","-","-","**","**",
"8600000US90077","ZCTA5 90077","1657700","null","168850","null",
"8600000US90079","ZCTA5 90079","-","-","**","**",
"8600000US90089","ZCTA5 90089","-","-","**","**",
"8600000US90090","ZCTA5 90090","-","-","**","**",
"8600000US90094","ZCTA5 90094","754000","null","79043","null",
"8600000US90095","ZCTA5 90095","-","-","**","**",
"8600000US90201","ZCTA5 90201","317900","null","10341","null",
"8600000US90210","ZCTA5 90210","2,000,000+","2,000,000+","***","***",
"8600000US90211","ZCTA5 90211","1190000","null","81417","null",
"8600000US90212","ZCTA5 90212","1578800","null","120939","null",
"8600000US90220","ZCTA5 90220","248100","null","8090","null",
"8600000US90221","ZCTA5 90221","275400","null","6545","null",
"8600000US90222","ZCTA5 90222","258600","null","14804","null",
"8600000US90230","ZCTA5 90230","603900","null","31586","null",
"8600000US90232","ZCTA5 90232","789400","null","55969","null",
"8600000US90240","ZCTA5 90240","487800","null","19818","null",
"8600000US90241","ZCTA5 90241","465400","null","14027","null",
"8600000US90242","ZCTA5 90242","412600","null","14354","null",
"8600000US90245","ZCTA5 90245","828300","null","30823","null",
"8600000US90247","ZCTA5 90247","367100","null","9558","null",
"8600000US90248","ZCTA5 90248","379600","null","19278","null",
"8600000US90249","ZCTA5 90249","386600","null","11792","null",
"8600000US90250","ZCTA5 90250","432600","null","8959","null",
"8600000US90254","ZCTA5 90254","1166800","null","55525","null",
"8600000US90255","ZCTA5 90255","324900","null","7766","null",
"8600000US90260","ZCTA5 90260","429900","null","17732","null",
"8600000US90262","ZCTA5 90262","311800","null","9621","null",
"8600000US90263","ZCTA5 90263","-","-","**","**",
"8600000US90265","ZCTA5 90265","1641200","null","90899","null",
"8600000US90266","ZCTA5 90266","1537200","null","67889","null",
"8600000US90270","ZCTA5 90270","325600","null","14898","null",
"8600000US90272","ZCTA5 90272","1841000","null","192104","null",
"8600000US90274","ZCTA5 90274","1385800","null","65738","null",
"8600000US90275","ZCTA5 90275","1004800","null","20450","null",
"8600000US90277","ZCTA5 90277","898500","null","23083","null",
"8600000US90278","ZCTA5 90278","721800","null","19432","null",
"8600000US90280","ZCTA5 90280","329000","null","4919","null",
"8600000US90290","ZCTA5 90290","913000","null","51786","null",
"8600000US90291","ZCTA5 90291","1165900","null","41258","null",
"8600000US90292","ZCTA5 90292","810000","null","44661","null",
"8600000US90293","ZCTA5 90293","664100","null","53147","null",
"8600000US90301","ZCTA5 90301","306700","null","16920","null",
"8600000US90302","ZCTA5 90302","353100","null","20040","null",
"8600000US90303","ZCTA5 90303","362100","null","8698","null",
"8600000US90304","ZCTA5 90304","342500","null","14449","null",
"8600000US90305","ZCTA5 90305","385500","null","13389","null",
"8600000US90401","ZCTA5 90401","919000","null","209199","null",
"8600000US90402","ZCTA5 90402","2,000,000+","2,000,000+","***","***",
"8600000US90403","ZCTA5 90403","972800","null","69813","null",
"8600000US90404","ZCTA5 90404","723100","null","48544","null",
"8600000US90405","ZCTA5 90405","1078800","null","59920","null",
"8600000US90501","ZCTA5 90501","549900","null","17888","null",
"8600000US90502","ZCTA5 90502","375800","null","17583","null",
"8600000US90503","ZCTA5 90503","664800","null","9019","null",
"8600000US90504","ZCTA5 90504","554500","null","12266","null",
"8600000US90505","ZCTA5 90505","764000","null","16615","null",
"8600000US90506","ZCTA5 90506","-","-","**","**",
"8600000US90601","ZCTA5 90601","451100","null","12536","null",
"8600000US90602","ZCTA5 90602","453200","null","15967","null",
"8600000US90603","ZCTA5 90603","477800","null","15051","null",
"8600000US90604","ZCTA5 90604","414800","null","8257","null",
"8600000US90605","ZCTA5 90605","394000","null","9425","null",
"8600000US90606","ZCTA5 90606","361900","null","7641","null",
"8600000US90620","ZCTA5 90620","444300","null","8112","null",
"8600000US90621","ZCTA5 90621","467400","null","18930","null",
"8600000US90623","ZCTA5 90623","602600","null","8066","null",
"8600000US90630","ZCTA5 90630","539700","null","12806","null",
"8600000US90631","ZCTA5 90631","475600","null","11327","null",
"8600000US90638","ZCTA5 90638","448500","null","6223","null",
"8600000US90640","ZCTA5 90640","414000","null","8336","null",
"8600000US90650","ZCTA5 90650","350600","null","3741","null",
"8600000US90660","ZCTA5 90660","351300","null","4916","null",
"8600000US90670","ZCTA5 90670","371200","null","10524","null",
"8600000US90680","ZCTA5 90680","331200","null","12651","null",
"8600000US90701","ZCTA5 90701","420600","null","23269","null",
"8600000US90703","ZCTA5 90703","619300","null","4777","null",
