"GEO_ID","NAME","B25077_001E","B25077_001EA","B25077_001M","B25077_001MA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)",
"8600000US89010","ZCTA5 89010","116300","null","21121","null",
"8600000US89019","ZCTA5 89019","108200","null","24387","null",
"8600000US89060","ZCTA5 89060","105200","null","10829","null",
"8600000US89061","ZCTA5 89061","137400","null","16835","null",
"8600000US89439","ZCTA5 89439","264000","null","74499","null",
"8600000US90001","ZCTA5 90001","258500","null","9162","null",
"8600000US90002","ZCTA5 90002","227200","null","7727","null",
"8600000US90003","ZCTA5 90003","242200","null","9178","null",
"8600000US90004","ZCTA5 90004","746000","null","50734","null",
"8600000US90005","ZCTA5 90005","688300","null","57095","null",
"8600000US90006","ZCTA5 90006","436500","null","28374","null",
"8600000US90007","ZCTA5 90007","368600","null","23192","null",
"8600000US90008","ZCTA5 90008","462500","null","26795","null",
"8600000US90010","ZCTA5 90010","710800","null","121969","null",
"8600000US90011","ZCTA5 90011","277600","null","10258","null",
"8600000US90012","ZCTA5 90012","397300","null","30710","null",
"8600000US90013","ZCTA5 90013","418100","null","50236","null",
"8600000US90014","ZCTA5 90014","343500","null","68986","null",
"8600000US90015","ZCTA5 90015","468100","null","57911","null",
"8600000US90016","ZCTA5 90016","377600","null","12653","null",
"8600000US90017","ZCTA5 90017","446400","null","78064","null",
"8600000US90018","ZCTA5 90018","382300","null","16539","null",
"8600000US90019","ZCTA5 90019","664400","null","25029","null",
"8600000US90020","ZCTA5 90020","525700","null","102102","null",
"8600000US90021","ZCTA5 90021","409400","null","124206","null",
"8600000US90022","ZCTA5 90022","312400","null","7728","null",
"8600000US90023","ZCTA5 90023","299500","null","13160","null",
"8600000US90024","ZCTA5 90024","1026300","null","93388","null",
"8600000US90025","ZCTA5 90025","693100","null","20877","null",
"8600000US90026","ZCTA5 90026","610000","null","22418","null",
"8600000US90027","ZCTA5 90027","842800","null","42684","null",
"8600000US90028","ZCTA5 90028","611900","null","108985","null",
"8600000US90029","ZCTA5 90029","561100","null","39019","null",
"8600000US90031","ZCTA5 90031","366900","null","12315","null",
"8600000US90032","ZCTA5 90032","349600","null","7096","null",
"8600000US90033","ZCTA5 90033","306900","null","16432","null",
"8600000US90034","ZCTA5 90034","671000","null","20834","null",
"8600000US90035","ZCTA5 90035","888400","null","29140","null",
"8600000US90036","ZCTA5 90036","983300","null","53330","null",
"8600000US90037","ZCTA5 90037","289000","null","8158","null",
"8600000US90038","ZCTA5 90038","580100","null","46810","null",
"8600000US90039","ZCTA5 90039","644700","null","20066","null",
"8600000US90040","ZCTA5 90040","334400","null","15575","null",
"8600000US90041","ZCTA5 90041","570200","null","20912","null",
"8600000US90042","ZCTA5 90042","417200","null","10862","null",
"8600000US90043","ZCTA5 90043","374400","null","8959","null",
"8600000US90044","ZCTA5 90044","283100","null","6164","null",
"8600000US90045","ZCTA5 90045","712100","null","18368","null",
"8600000US90046","ZCTA5 90046","889200","null","43403","null",
"8600000US90047","ZCTA5 90047","306500","null","9375","null",
"8600000US90048","ZCTA5 90048","1016800","null","69029","null",
"8600000US90049","ZCTA5 90049","1664900","null","58451","null",
"8600000US90056","ZCTA5 90056","783900","null","46642","null",
"8600000US90057","ZCTA5 90057","308100","null","53512","null",
"8600000US90058","ZCTA5 90058","190800","null","4751","null",
"8600000US90059","ZCTA5 90059","229200","null","8130","null",
"8600000US90061","ZCTA5 90061","266500","null","10927","null",
"8600000US90062","ZCTA5 90062","298900","null","13430","null",
"8600000US90063","ZCTA5 90063","299100","null","10143","null",
"8600000US90064","ZCTA5 90064","943200","null","26485","null",
"8600000US90065","ZCTA5 90065","501800","null","22348","null",
"8600000US90066","ZCTA5 90066","781600","null","25544","null",
"8600000US90067","ZCTA5 90067","973900","null","87552","null",
"8600000US90068","ZCTA5 90068","1001200","null","48647","null",
"8600000US90069","ZCTA5 90069","720100","null","50783","null",
"8600000US90071","ZCTA5 90071","-","-","**","**",
"8600000US90073","ZCTA5 90073","-","-","**","**",
"8600000US90077","ZCTA5 90077","1391900","null","293704","null",
"8600000US90079","ZCTA5 90079","-","-","**","**",
"8600000US90089","ZCTA5 90089","-","-","**","**",
"8600000US90090","ZCTA5 90090","-","-","**","**",
"8600000US90094","ZCTA5 90094","657900","null","47835","null",
