"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"8600000US89010","ZCTA5 89010","108000","38811","null","null",
"8600000US89019","ZCTA5 89019","159500","118877","null","null",
"8600000US89060","ZCTA5 89060","132600","18913","null","null",
"8600000US89061","ZCTA5 89061","222000","16500","null","null",
"8600000US89439","ZCTA5 89439","379300","114198","null","null",
"8600000US90001","ZCTA5 90001","359000","8956","null","null",
"8600000US90002","ZCTA5 90002","345900","9997","null","null",
"8600000US90003","ZCTA5 90003","362800","9443","null","null",
"8600000US90004","ZCTA5 90004","1063200","75499","null","null",
"8600000US90005","ZCTA5 90005","777100","108716","null","null",
"8600000US90006","ZCTA5 90006","608600","23256","null","null",
"8600000US90007","ZCTA5 90007","622600","32944","null","null",
"8600000US90008","ZCTA5 90008","701800","37487","null","null",
"8600000US90010","ZCTA5 90010","866000","67502","null","null",
"8600000US90011","ZCTA5 90011","377600","8735","null","null",
"8600000US90012","ZCTA5 90012","533200","48409","null","null",
"8600000US90013","ZCTA5 90013","657400","77166","null","null",
"8600000US90014","ZCTA5 90014","544500","112442","null","null",
"8600000US90015","ZCTA5 90015","705000","54188","null","null",
"8600000US90016","ZCTA5 90016","566600","20193","null","null",
"8600000US90017","ZCTA5 90017","651500","44374","null","null",
"8600000US90018","ZCTA5 90018","586500","18130","null","null",
"8600000US90019","ZCTA5 90019","932700","40463","null","null",
"8600000US90020","ZCTA5 90020","633700","147529","null","null",
"8600000US90021","ZCTA5 90021","888900","468007","null","null",
"8600000US90022","ZCTA5 90022","416900","11078","null","null",
"8600000US90023","ZCTA5 90023","427300","15732","null","null",
"8600000US90024","ZCTA5 90024","1184100","64020","null","null",
"8600000US90025","ZCTA5 90025","867400","25545","null","null",
"8600000US90026","ZCTA5 90026","838400","25645","null","null",
"8600000US90027","ZCTA5 90027","1146900","70699","null","null",
"8600000US90028","ZCTA5 90028","792800","114183","null","null",
"8600000US90029","ZCTA5 90029","719900","52322","null","null",
"8600000US90031","ZCTA5 90031","550000","21888","null","null",
"8600000US90032","ZCTA5 90032","504700","17634","null","null",
"8600000US90033","ZCTA5 90033","434200","16950","null","null",
"8600000US90034","ZCTA5 90034","983300","48982","null","null",
"8600000US90035","ZCTA5 90035","1094900","56622","null","null",
"8600000US90036","ZCTA5 90036","1504000","106284","null","null",
"8600000US90037","ZCTA5 90037","407200","16706","null","null",
"8600000US90038","ZCTA5 90038","821600","78003","null","null",
"8600000US90039","ZCTA5 90039","854200","38525","null","null",
"8600000US90040","ZCTA5 90040","406900","21684","null","null",
"8600000US90041","ZCTA5 90041","735100","27528","null","null",
"8600000US90042","ZCTA5 90042","627200","11060","null","null",
"8600000US90043","ZCTA5 90043","556400","20262","null","null",
"8600000US90044","ZCTA5 90044","391100","10396","null","null",
"8600000US90045","ZCTA5 90045","959400","20596","null","null",
"8600000US90046","ZCTA5 90046","1183200","70183","null","null",
"8600000US90047","ZCTA5 90047","433700","8976","null","null",
"8600000US90048","ZCTA5 90048","1229900","124983","null","null",
"8600000US90049","ZCTA5 90049","2,000,000+","***","***","2,000,000+",
"8600000US90056","ZCTA5 90056","991300","64945","null","null",
"8600000US90057","ZCTA5 90057","457000","77889","null","null",
"8600000US90058","ZCTA5 90058","328400","37623","null","null",
"8600000US90059","ZCTA5 90059","348100","8656","null","null",
"8600000US90061","ZCTA5 90061","361500","13257","null","null",
"8600000US90062","ZCTA5 90062","444000","20626","null","null",
"8600000US90063","ZCTA5 90063","406600","15710","null","null",
"8600000US90064","ZCTA5 90064","1178000","36011","null","null",
"8600000US90065","ZCTA5 90065","706900","18650","null","null",
"8600000US90066","ZCTA5 90066","1121400","29777","null","null",
"8600000US90067","ZCTA5 90067","1146700","117424","null","null",
"8600000US90068","ZCTA5 90068","1228400","47992","null","null",
"8600000US90069","ZCTA5 90069","846700","83998","null","null",
"8600000US90071","ZCTA5 90071","-","**","**","-",
"8600000US90073","ZCTA5 90073","-","**","**","-",
"8600000US90077","ZCTA5 90077","2,000,000+","***","***","2,000,000+",
"8600000US90079","ZCTA5 90079","-","**","**","-",
"8600000US90089","ZCTA5 90089","-","**","**","-",
"8600000US90090","ZCTA5 90090","-","**","**","-",
"8600000US90094","ZCTA5 90094","1030600","92670","null","null",
"8600000US90095","ZCTA5 90095","-","**","**","-",
"8600000US90201","ZCTA5 90201","406800","12241","null","null",
"8600000US90210","ZCTA5 90210","2,000,000+","***","***","2,000,000+",
"8600000US90211","ZCTA5 90211","1722200","131876","null","null",
"8600000US90212","ZCTA5 90212","2,000,000+","***","***","2,000,000+",
"8600000US90220","ZCTA5 90220","330800","9064","null","null",
"8600000US90221","ZCTA5 90221","364100","7296","null","null",
"8600000US90222","ZCTA5 90222","352800","9277","null","null",
"8600000US90230","ZCTA5 90230","769700","43656","null","null",
"8600000US90232","ZCTA5 90232","1125200","48198","null","null",
"8600000US90240","ZCTA5 90240","612400","13736","null","null",
"8600000US90241","ZCTA5 90241","582300","12117","null","null",
"8600000US90242","ZCTA5 90242","513900","22217","null","null",
"8600000US90245","ZCTA5 90245","1094300","44685","null","null",
"8600000US90247","ZCTA5 90247","455900","9988","null","null",
"8600000US90248","ZCTA5 90248","490700","25806","null","null",
"8600000US90249","ZCTA5 90249","487900","14028","null","null",
"8600000US90250","ZCTA5 90250","567900","12899","null","null",
"8600000US90254","ZCTA5 90254","1542900","57963","null","null",
"8600000US90255","ZCTA5 90255","411700","9823","null","null",
"8600000US90260","ZCTA5 90260","541000","23063","null","null",
"8600000US90262","ZCTA5 90262","399100","9802","null","null",
"8600000US90263","ZCTA5 90263","-","**","**","-",
"8600000US90265","ZCTA5 90265","2,000,000+","***","***","2,000,000+",
"8600000US90266","ZCTA5 90266","2,000,000+","***","***","2,000,000+",
"8600000US90270","ZCTA5 90270","387000","18936","null","null",
"8600000US90272","ZCTA5 90272","2,000,000+","***","***","2,000,000+",
"8600000US90274","ZCTA5 90274","1655300","54365","null","null",
"8600000US90275","ZCTA5 90275","1155900","23368","null","null",
"8600000US90277","ZCTA5 90277","1089500","36393","null","null",
"8600000US90278","ZCTA5 90278","881900","20772","null","null",
"8600000US90280","ZCTA5 90280","408200","8591","null","null",
"8600000US90290","ZCTA5 90290","1036300","83373","null","null",
"8600000US90291","ZCTA5 90291","1650000","60200","null","null",
"8600000US90292","ZCTA5 90292","978900","52172","null","null",
"8600000US90293","ZCTA5 90293","800400","72980","null","null",
"8600000US90301","ZCTA5 90301","437400","23979","null","null",
"8600000US90302","ZCTA5 90302","484800","24892","null","null",
"8600000US90303","ZCTA5 90303","468900","17715","null","null",
"8600000US90304","ZCTA5 90304","472600","21798","null","null",
"8600000US90305","ZCTA5 90305","537800","23336","null","null",
"8600000US90401","ZCTA5 90401","1079500","283464","null","null",
"8600000US90402","ZCTA5 90402","2,000,000+","***","***","2,000,000+",
"8600000US90403","ZCTA5 90403","1246500","178514","null","null",
"8600000US90404","ZCTA5 90404","834400","50116","null","null",
"8600000US90405","ZCTA5 90405","1460400","119881","null","null",
"8600000US90501","ZCTA5 90501","645400","15693","null","null",
"8600000US90502","ZCTA5 90502","459900","14954","null","null",
"8600000US90503","ZCTA5 90503","798800","10995","null","null",
"8600000US90504","ZCTA5 90504","633500","10041","null","null",
"8600000US90505","ZCTA5 90505","863300","11891","null","null",
"8600000US90506","ZCTA5 90506","-","**","**","-",
"8600000US90601","ZCTA5 90601","550700","15969","null","null",
"8600000US90602","ZCTA5 90602","548800","20594","null","null",
"8600000US90603","ZCTA5 90603","607200","12231","null","null",
"8600000US90604","ZCTA5 90604","527200","12945","null","null",
"8600000US90605","ZCTA5 90605","474900","7604","null","null",
"8600000US90606","ZCTA5 90606","444800","7098","null","null",
"8600000US90620","ZCTA5 90620","576700","7997","null","null",
"8600000US90621","ZCTA5 90621","591500","28499","null","null",
"8600000US90623","ZCTA5 90623","660200","12086","null","null",
"8600000US90630","ZCTA5 90630","632300","7504","null","null",
"8600000US90631","ZCTA5 90631","577600","11112","null","null",
"8600000US90638","ZCTA5 90638","570200","8717","null","null",
"8600000US90640","ZCTA5 90640","492200","11482","null","null",
"8600000US90650","ZCTA5 90650","440800","3437","null","null",
"8600000US90660","ZCTA5 90660","440600","5218","null","null",
"8600000US90670","ZCTA5 90670","448900","8673","null","null",
"8600000US90680","ZCTA5 90680","400200","19513","null","null",
"8600000US90701","ZCTA5 90701","543200","35960","null","null",
"8600000US90703","ZCTA5 90703","683300","7929","null","null",
"8600000US90704","ZCTA5 90704","634200","92054","null","null",
"8600000US90706","ZCTA5 90706","458600","7219","null","null",
"8600000US90710","ZCTA5 90710","500600","18736","null","null",
"8600000US90712","ZCTA5 90712","572000","9785","null","null",
"8600000US90713","ZCTA5 90713","593600","6055","null","null",
"8600000US90715","ZCTA5 90715","477300","11930","null","null",
"8600000US90716","ZCTA5 90716","366400","23135","null","null",
"8600000US90717","ZCTA5 90717","603200","17224","null","null",
"8600000US90720","ZCTA5 90720","894600","14923","null","null",
"8600000US90723","ZCTA5 90723","343800","12567","null","null",
"8600000US90731","ZCTA5 90731","590700","13422","null","null",
"8600000US90732","ZCTA5 90732","615000","17694","null","null",
"8600000US90740","ZCTA5 90740","370100","24080","null","null",
"8600000US90742","ZCTA5 90742","1117600","713619","null","null",
"8600000US90743","ZCTA5 90743","1173600","1108031","null","null",
"8600000US90744","ZCTA5 90744","397700","12042","null","null",
"8600000US90745","ZCTA5 90745","445100","8674","null","null",
"8600000US90746","ZCTA5 90746","506600","20834","null","null",
"8600000US90747","ZCTA5 90747","-","**","**","-",
"8600000US90755","ZCTA5 90755","507500","52275","null","null",
"8600000US90802","ZCTA5 90802","404100","19597","null","null",
"8600000US90803","ZCTA5 90803","897800","34711","null","null",
"8600000US90804","ZCTA5 90804","517600","42796","null","null",
"8600000US90805","ZCTA5 90805","405300","9882","null","null",
"8600000US90806","ZCTA5 90806","466000","11456","null","null",
"8600000US90807","ZCTA5 90807","608400","14396","null","null",
"8600000US90808","ZCTA5 90808","650400","6111","null","null",
"8600000US90810","ZCTA5 90810","414300","10864","null","null",
"8600000US90813","ZCTA5 90813","393000","20828","null","null",
"8600000US90814","ZCTA5 90814","704800","51241","null","null",
"8600000US90815","ZCTA5 90815","645100","8251","null","null",
"8600000US90822","ZCTA5 90822","-","**","**","-",
"8600000US90831","ZCTA5 90831","-","**","**","-",
"8600000US91001","ZCTA5 91001","748100","22710","null","null",
"8600000US91006","ZCTA5 91006","995400","40342","null","null",
"8600000US91007","ZCTA5 91007","1046500","46458","null","null",
"8600000US91008","ZCTA5 91008","1399200","220582","null","null",
"8600000US91010","ZCTA5 91010","471500","10438","null","null",
"8600000US91011","ZCTA5 91011","1517500","58008","null","null",
"8600000US91016","ZCTA5 91016","642400","16597","null","null",
"8600000US91020","ZCTA5 91020","615900","73824","null","null",
"8600000US91024","ZCTA5 91024","969700","36386","null","null",
"8600000US91030","ZCTA5 91030","1071000","56190","null","null",
