ID,Year,Zipcode,Longitude,Latitude,Income,Age,Population,Num Rooms,House Value
1,2011,89010,-117.93,37.68,45893.0,59.1,313,4.6,141300.0
2,2011,89019,-115.53,35.75,35825.0,33.9,2172,4.8,115700.0
3,2011,89060,-116.09,36.29,39211.0,49.4,10691,5.5,141200.0
4,2011,89061,-115.92,36.08,44722.0,45.9,4658,5.8,162700.0
5,2011,89439,-119.99,39.51,62008.0,59.1,1457,5.4,240000.0
6,2011,90001,-118.24,33.97,36386.0,26.6,54760,4.4,309400.0
7,2011,90002,-118.24,33.94,31810.0,25.2,46509,4.8,289300.0
8,2011,90003,-118.27,33.96,28334.0,25.7,66183,4.4,303000.0
9,2011,90004,-118.31,34.07,37839.0,34.9,63932,2.9,844800.0
10,2011,90005,-118.31,34.06,32955.0,33.7,41178,2.5,653700.0
11,2011,90006,-118.29,34.05,29594.0,32.7,57912,2.4,516400.0
12,2011,90007,-118.28,34.02,22049.0,23.5,42265,3.3,445100.0
13,2011,90008,-118.35,34.01,37798.0,38.7,34429,4.5,543200.0
14,2011,90010,-118.32,34.06,50288.0,42.0,3229,2.9,567100.0
15,2011,90011,-118.25,34.0,30118.0,27.1,101523,4.0,349100.0
16,2011,90012,-118.24,34.06,25028.0,36.6,29298,2.9,419600.0
17,2011,90013,-118.24,34.05,16284.0,44.6,8216,1.4,285000.0
18,2011,90014,-118.25,34.04,12015.0,46.6,5204,1.4,326900.0
19,2011,90015,-118.26,34.03,25911.0,30.9,17957,2.3,455800.0
20,2011,90016,-118.35,34.02,35858.0,33.4,46871,4.4,417300.0
21,2011,90017,-118.26,34.05,21050.0,28.8,22401,1.5,484300.0
22,2011,90018,-118.31,34.02,35126.0,31.9,48212,4.1,409300.0
23,2011,90019,-118.34,34.04,40727.0,35.9,63894,4.0,650600.0
24,2011,90020,-118.31,34.07,39103.0,34.8,40596,2.3,555200.0
25,2011,90021,-118.24,34.03,13576.0,48.3,2603,5.163962967276100,489100.0
26,2011,90022,-118.15,34.02,37262.0,29.5,67322,4.2,345700.0
27,2011,90023,-118.2,34.02,33340.0,28.3,44706,3.9,339400.0
28,2011,90024,-118.43,34.06,67151.0,23.6,49427,3.9,1000000.0
29,2011,90025,-118.44,34.04,71947.0,33.9,42653,3.8,689200.0
30,2011,90026,-118.26,34.07,45560.0,33.4,70052,3.9,616700.0
31,2011,90027,-118.28,34.12,47980.0,38.7,45491,3.4,829700.0
32,2011,90028,-118.32,34.1,31415.0,33.9,27434,2.6,645500.0
33,2011,90029,-118.29,34.09,36281.0,34.6,38563,3.1,550400.0
34,2011,90031,-118.21,34.09,34597.0,33.7,39076,4.1,366500.0
35,2011,90032,-118.17,34.08,44759.0,31.9,48729,4.6,363200.0
36,2011,90033,-118.21,34.04,29524.0,28.3,49102,4.0,351600.0
37,2011,90034,-118.4,34.03,57577.0,32.2,59662,3.7,689900.0
38,2011,90035,-118.38,34.05,70273.0,37.5,29113,4.6,851300.0
39,2011,90036,-118.35,34.06,72981.0,35.2,36124,3.9,982900.0
40,2011,90037,-118.28,34.0,28377.0,28.3,60639,4.0,311600.0
41,2011,90038,-118.33,34.09,34723.0,33.4,30498,3.0,609100.0
42,2011,90039,-118.26,34.11,64533.0,37.8,29262,4.3,648400.0
43,2011,90040,-118.14,33.99,48610.0,30.8,12862,4.5,360200.0
44,2011,90041,-118.2,34.13,62700.0,38.3,28857,4.9,583800.0
45,2011,90042,-118.19,34.11,53283.0,34.9,63424,4.2,431200.0
46,2011,90043,-118.33,33.98,42379.0,38.0,44042,5.1,428400.0
47,2011,90044,-118.29,33.95,29459.0,28.0,88164,4.2,335800.0
48,2011,90045,-118.4,33.95,80311.0,34.6,40150,4.9,705200.0
49,2011,90046,-118.36,34.11,51929.0,38.0,49212,3.4,929600.0
50,2011,90047,-118.31,33.95,43538.0,36.0,47550,5.1,338700.0
51,2011,90048,-118.37,34.07,77855.0,38.6,20931,4.1,945200.0
52,2011,90049,-118.49,34.08,113158.0,41.0,36451,4.9,1000000.0
53,2011,90056,-118.37,33.99,91288.0,48.5,8108,6.1,802400.0
54,2011,90057,-118.27,34.06,27155.0,31.7,43808,2.1,325900.0
55,2011,90058,-118.21,34.0,16972.0,26.1,3484,3.7,186500.0
56,2011,90059,-118.25,33.93,32455.0,25.0,40209,4.9,296100.0
57,2011,90061,-118.27,33.92,34263.0,28.2,26952,4.8,300300.0
58,2011,90062,-118.31,34.0,34051.0,33.6,30710,4.6,363800.0
59,2011,90063,-118.18,34.04,38691.0,30.0,52883,4.5,330000.0
60,2011,90064,-118.43,34.03,79038.0,39.3,25633,5.0,896800.0
61,2011,90065,-118.22,34.1,56090.0,36.0,46844,4.5,503500.0
62,2011,90066,-118.43,34.0,64445.0,37.1,56210,4.2,758800.0
63,2011,90067,-118.41,34.06,94107.0,60.9,2468,4.7,917700.0
64,2011,90068,-118.33,34.13,72821.0,39.2,22048,4.2,977100.0
65,2011,90069,-118.38,34.09,74262.0,43.2,19789,3.8,727300.0
66,2011,90071,-118.25,34.05,67521.99233323270,40.40193697600450,0,5.163962967276100,458794.97705720400
67,2011,90073,-118.45,34.05,67521.99233323270,56.9,560,5.163962967276100,458794.97705720400
68,2011,90077,-118.45,34.1,184338.0,46.8,8571,7.2,1000000.0
69,2011,90079,-118.26,34.04,67521.99233323270,40.40193697600450,0,5.163962967276100,458794.97705720400
70,2011,90089,-118.29,34.02,9219.0,19.2,3516,2.3,458794.97705720400
71,2011,90090,-118.24,34.07,67521.99233323270,40.40193697600450,0,5.163962967276100,458794.97705720400
72,2011,90094,-118.42,33.98,86579.0,33.1,4994,4.0,673700.0
73,2011,90095,-118.44,34.07,67521.99233323270,40.40193697600450,0,5.163962967276100,458794.97705720400
74,2011,90201,-118.15,33.97,38482.0,27.3,101584,4.1,317000.0
75,2011,90210,-118.41,34.09,129539.0,45.7,21719,6.8,1000000.0
76,2011,90211,-118.38,34.06,74212.0,38.9,8097,4.6,1000000.0
77,2011,90212,-118.4,34.06,78575.0,41.3,11836,4.4,1000000.0
78,2011,90220,-118.24,33.87,42974.0,27.7,50741,4.9,280500.0
79,2011,90221,-118.21,33.87,43184.0,26.5,51535,4.8,274000.0
80,2011,90222,-118.23,33.91,42622.0,27.9,30628,4.9,284300.0
81,2011,90230,-118.39,33.99,68870.0,39.5,32019,4.6,565800.0
82,2011,90232,-118.39,34.02,70341.0,39.6,15001,4.3,800200.0
83,2011,90240,-118.12,33.95,69032.0,37.3,25398,5.5,510700.0
84,2011,90241,-118.13,33.94,57846.0,34.5,43558,4.5,487100.0
85,2011,90242,-118.14,33.92,56831.0,32.0,42373,4.7,434000.0
86,2011,90245,-118.4,33.91,88486.0,38.8,16597,4.7,790800.0
87,2011,90247,-118.29,33.89,41560.0,35.2,46729,4.1,373900.0
88,2011,90248,-118.28,33.88,58692.0,43.7,10268,5.0,406100.0
89,2011,90249,-118.31,33.89,57281.0,36.7,26735,4.7,416800.0
90,2011,90250,-118.34,33.91,47411.0,31.4,93154,4.0,466600.0
91,2011,90254,-118.39,33.86,102289.0,38.3,19422,4.4,1000000.0
92,2011,90255,-118.21,33.97,37274.0,28.7,76137,3.8,349900.0
93,2011,90260,-118.35,33.88,51864.0,32.0,34471,4.4,422400.0
94,2011,90262,-118.2,33.92,43889.0,27.8,69643,4.5,350300.0
95,2011,90263,-118.71,34.04,67521.99233323270,20.2,1710,5.163962967276100,458794.97705720400
96,2011,90265,-118.81,34.06,127059.0,46.1,17822,6.1,1000000.0
97,2011,90266,-118.4,33.88,132752.0,39.7,34986,5.7,1000000.0
98,2011,90270,-118.19,33.99,38155.0,27.0,27454,4.0,320600.0
99,2011,90272,-118.54,34.07,158381.0,47.6,22765,6.5,1000000.0
100,2011,90274,-118.34,33.77,153621.0,47.9,25319,6.9,1000000.0
101,2011,90275,-118.31,33.75,116708.0,46.4,41712,6.5,998500.0
102,2011,90277,-118.38,33.83,92577.0,42.3,34382,4.4,857200.0
103,2011,90278,-118.37,33.87,100776.0,37.4,40661,5.2,712400.0
104,2011,90280,-118.2,33.94,41990.0,29.1,94586,4.4,339900.0
105,2011,90290,-118.6,34.1,128750.0,44.4,6820,5.9,1000000.0
106,2011,90291,-118.46,33.99,74046.0,37.4,26992,3.9,1000000.0
107,2011,90292,-118.46,33.98,100361.0,41.6,22152,3.8,743100.0
108,2011,90293,-118.44,33.94,92664.0,38.9,12833,4.2,532700.0
